# MTU(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
256 47,60 43,00 51,00 2,06
356 46,30 44,00 50,00 1,73
456 48,70 44,00 51,00 2,10
556 47,80 42,00 51,00 2,56
656 80,20 34,00 92,00 20,12
756 90,40 81,00 92,00 3,35
856 91,80 90,00 93,00 0,75
956 91,90 91,00 92,00 0,30
1056 90,00 73,00 92,00 5,67
1156 91,40 89,00 92,00 1,02
1256 91,30 89,00 92,00 1,10
1356 89,70 72,00 93,00 5,97
1456 91,60 88,00 93,00 1,36
