# MTU(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 79.44 75.80 84.60 2.69
116 17.61 14.20 20.40 1.95
216 46.54 43.80 49.60 1.88
316 58.03 43.70 70.60 6.27
416 61.63 46.90 68.70 5.72
516 68.13 62.90 72.00 3.09
616 72.74 69.40 75.60 2.55
716 72.49 66.20 78.00 3.93
816 76.02 69.90 81.30 3.30
916 73.50 61.80 82.20 5.73
1016 76.04 68.40 84.40 4.41
1116 78.82 71.10 84.40 4.07
1216 74.89 60.30 79.10 5.50
1316 79.69 75.20 87.30 4.23
1416 79.75 68.60 86.10 4.51
