# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 4.92 4.72 5.12 0.11
116 35.59 34.50 36.50 0.70
216 73.81 70.00 75.20 1.42
316 80.44 77.30 81.80 1.57
416 84.11 81.20 85.40 1.89
516 86.28 83.40 87.70 1.85
616 87.85 85.30 89.40 1.82
716 88.30 77.90 90.60 3.71
816 90.03 87.40 91.50 1.80
916 90.62 88.00 92.30 1.89
1016 91.70 88.90 92.90 1.79
1116 91.05 89.30 93.40 1.92
1216 91.88 89.80 93.80 1.92
1316 89.13 57.00 94.20 10.81
1416 92.89 90.60 94.50 1.68
