# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
100 60.12 60.10 60.20 0.04
300 81.90 81.90 81.90 0.00
500 88.30 88.30 88.30 0.00
700 91.40 91.40 91.40 0.00
900 93.18 93.10 93.20 0.04
1100 94.30 94.30 94.30 0.00
1300 95.14 95.10 95.20 0.05
