# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 4,00 4,00 4,00 0,00
116 31,10 31,00 32,00 0,30
216 63,50 62,00 65,00 1,12
316 78,40 76,00 81,00 1,91
416 82,30 79,00 85,00 1,68
516 84,20 82,00 87,00 1,17
616 86,50 86,00 89,00 1,02
716 87,20 87,00 89,00 0,60
816 88,10 88,00 89,00 0,30
916 88,10 75,00 92,00 4,48
1016 89,60 89,00 92,00 1,20
1116 90,70 90,00 93,00 1,19
1216 90,40 90,00 92,00 0,66
1316 91,00 91,00 91,00 0,00
1416 81,20 0,00 92,00 27,12
