# MTU(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
100 34.48 34.40 34.50 0.04
300 73.26 73.20 73.30 0.05
500 83.20 83.20 83.20 0.00
700 87.80 87.80 87.80 0.00
900 90.40 90.40 90.40 0.00
1100 92.02 92.00 92.10 0.04
1300 93.22 93.20 93.30 0.04
