# MTU(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
100 14.44 12.80 15.30 0.88
300 65.66 63.10 69.10 2.55
500 74.42 71.10 76.00 1.75
700 76.12 64.00 82.70 6.36
900 82.10 79.70 83.50 1.33
1100 84.78 80.60 88.30 2.79
1300 85.58 83.20 89.10 2.22
1500 79.88 53.00 89.50 13.55
