# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
100 31.36 30.80 32.40 0.57
300 79.02 77.20 79.60 0.91
500 86.00 85.60 87.10 0.55
700 89.16 88.80 90.40 0.62
900 90.80 90.50 91.60 0.40
1100 91.78 91.70 91.90 0.07
1300 92.92 92.60 93.90 0.49
