utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,32,0.0,16431,549118017420022,487,19.833999633789062,621.0828214917971,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,1,6.0,19.833999633789062,0.0,0.0,0.0,66.7128,C,,,,,,,,,,,,,,,,,,
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,29,0.0,16431,549118027099220,235,30.954999923706055,-77.56066497511416,0.14999,16,-39373.8229959229,0.0008999999845400453,1575420000,,,,0,10.708501656935388,1,6.0,30.954999923706055,0.0,0.0,0.0,66.7128,C,,,,,,,,,,,,,,,,,,
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,11,0.0,16431,549118018708605,58,31.358999252319336,367.9393902215323,0.14999,16,4824.786345440521,0.00039999998989515007,1575420000,,,,0,14.710589473516542,1,6.0,31.358999252319336,0.0,0.0,0.0,66.7128,C,,,,,,,,,,,,,,,,,,
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,28,0.0,16431,549118023591011,51,34.64799880981445,-221.04096764848816,0.14999,16,-50282.09486261947,0.00022499999613501132,1575420000,,,,0,19.043151166605178,1,6.0,34.64799880981445,0.0,0.0,0.0,66.7128,C,,,,,,,,,,,,,,,,,,
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,12,0.0,16431,549118020777079,316,25.679000854492188,648.8214693081259,0.14999,16,-1421.0318311017986,0.002025000052526593,1575420000,,,,0,5.983079813304517,1,6.0,25.679000854492188,0.0,0.0,0.0,66.7128,C,,,,,,,,,,,,,,,,,,
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,22,0.0,16905,549104007953668,235,27.107999801635742,475.439697265625,0.14999,16,-13263.82391517075,0.0008999999845400453,1561098000,,,,0,10.55916541619225,5,6.0,27.107999801635742,0.0,0.0,0.0,66.7128,I,,,,,,,,,,,,,,,,,,
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,30,0.0,16905,549104015568588,316,25.100000381469727,-456.71844482421875,0.14999,16,-58299.79421632482,0.002025000052526593,1561098000,,,,0,6.189263264016879,5,6.0,25.100000381469727,0.0,0.0,0.0,66.7128,I,,,,,,,,,,,,,,,,,,
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,27,0.0,16905,549104023039422,58,35.09400177001953,53.3971061706543,0.14999,16,-25242.033181379447,0.00039999998989515007,1561098000,,,,0,17.53522096539189,5,6.0,35.09400177001953,0.0,0.0,0.0,66.7128,I,,,,,,,,,,,,,,,,,,
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,26,0.0,16431,549118013294106,235,28.606000900268555,-480.25681589717567,0.14999,16,0.0,0.0,1575420000,,,,0,9.827233876685455,1,6.0,28.606000900268555,0.0,0.0,0.0,66.7128,C,,,,,,,,,,,,,,,,,,
1774081900095,114191000000,,25849.53001260959,-1458117003904999936,0.0,25849.53001260959,477.38902563675845,0.0,0,25,0.0,16431,549118028935338,487,20.493999481201172,291.59141767015774,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,1,6.0,20.493999481201172,0.0,0.0,0.0,66.7128,C,,,,,,,,,,,,,,,,,,
