# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 4.03 4.03 4.03 0.00
26 7.18 7.18 7.18 0.00
36 9.77 9.77 9.77 0.00
46 12.30 12.30 12.30 0.00
56 15.40 15.40 15.40 0.00
66 16.50 16.50 16.50 0.00
76 20.50 20.50 20.50 0.00
86 22.90 22.90 22.90 0.00
96 41.20 41.20 41.20 0.00
106 46.50 46.50 46.50 0.00
116 45.60 45.60 45.60 0.00
126 54.30 54.30 54.30 0.00
136 58.40 58.40 58.40 0.00
146 64.00 64.00 64.00 0.00
156 67.90 67.90 67.90 0.00
166 68.30 68.30 68.30 0.00
176 76.60 76.60 76.60 0.00
186 81.10 81.10 81.10 0.00
196 85.40 85.40 85.40 0.00
206 89.10 89.10 89.10 0.00
216 89.90 89.90 89.90 0.00
226 99.30 99.30 99.30 0.00
236 102.00 102.00 102.00 0.00
246 108.00 108.00 108.00 0.00
256 109.00 109.00 109.00 0.00
266 116.00 116.00 116.00 0.00
276 118.00 118.00 118.00 0.00
286 117.00 117.00 117.00 0.00
296 125.00 125.00 125.00 0.00
306 128.00 128.00 128.00 0.00
316 135.00 135.00 135.00 0.00
326 142.00 142.00 142.00 0.00
336 146.00 146.00 146.00 0.00
346 149.00 149.00 149.00 0.00
356 154.00 154.00 154.00 0.00
366 157.00 157.00 157.00 0.00
376 160.00 160.00 160.00 0.00
386 165.00 165.00 165.00 0.00
396 166.00 166.00 166.00 0.00
406 176.00 176.00 176.00 0.00
416 177.00 177.00 177.00 0.00
426 186.00 186.00 186.00 0.00
436 188.00 188.00 188.00 0.00
446 194.00 194.00 194.00 0.00
456 195.00 195.00 195.00 0.00
466 183.00 183.00 183.00 0.00
476 205.00 205.00 205.00 0.00
486 210.00 210.00 210.00 0.00
496 211.00 211.00 211.00 0.00
506 217.00 217.00 217.00 0.00
516 213.00 213.00 213.00 0.00
526 228.00 228.00 228.00 0.00
536 232.00 232.00 232.00 0.00
546 237.00 237.00 237.00 0.00
556 231.00 231.00 231.00 0.00
566 233.00 233.00 233.00 0.00
576 245.00 245.00 245.00 0.00
586 246.00 246.00 246.00 0.00
596 259.00 259.00 259.00 0.00
606 234.00 234.00 234.00 0.00
616 252.00 252.00 252.00 0.00
626 271.00 271.00 271.00 0.00
636 275.00 275.00 275.00 0.00
646 279.00 279.00 279.00 0.00
656 259.00 259.00 259.00 0.00
666 277.00 277.00 277.00 0.00
676 279.00 279.00 279.00 0.00
686 298.00 298.00 298.00 0.00
696 297.00 297.00 297.00 0.00
706 299.00 299.00 299.00 0.00
716 308.00 308.00 308.00 0.00
726 309.00 309.00 309.00 0.00
736 313.00 313.00 313.00 0.00
746 314.00 314.00 314.00 0.00
756 308.00 308.00 308.00 0.00
766 322.00 322.00 322.00 0.00
776 320.00 320.00 320.00 0.00
786 322.00 322.00 322.00 0.00
796 324.00 324.00 324.00 0.00
806 317.00 317.00 317.00 0.00
816 331.00 331.00 331.00 0.00
826 328.00 328.00 328.00 0.00
836 330.00 330.00 330.00 0.00
846 324.00 324.00 324.00 0.00
856 325.00 325.00 325.00 0.00
866 333.00 333.00 333.00 0.00
876 338.00 338.00 338.00 0.00
886 336.00 336.00 336.00 0.00
896 324.00 324.00 324.00 0.00
906 335.00 335.00 335.00 0.00
916 336.00 336.00 336.00 0.00
926 312.00 312.00 312.00 0.00
936 314.00 314.00 314.00 0.00
946 338.00 338.00 338.00 0.00
956 317.00 317.00 317.00 0.00
966 322.00 322.00 322.00 0.00
976 333.00 333.00 333.00 0.00
986 339.00 339.00 339.00 0.00
996 344.00 344.00 344.00 0.00
1006 342.00 342.00 342.00 0.00
1016 345.00 345.00 345.00 0.00
1026 319.00 319.00 319.00 0.00
1036 349.00 349.00 349.00 0.00
1046 340.00 340.00 340.00 0.00
1056 344.00 344.00 344.00 0.00
1066 348.00 348.00 348.00 0.00
1076 343.00 343.00 343.00 0.00
1086 340.00 340.00 340.00 0.00
1096 334.00 334.00 334.00 0.00
1106 338.00 338.00 338.00 0.00
1116 351.00 351.00 351.00 0.00
1126 313.00 313.00 313.00 0.00
1136 348.00 348.00 348.00 0.00
1146 347.00 347.00 347.00 0.00
1156 349.00 349.00 349.00 0.00
1166 318.00 318.00 318.00 0.00
1176 332.00 332.00 332.00 0.00
1186 296.00 296.00 296.00 0.00
1196 343.00 343.00 343.00 0.00
1206 313.00 313.00 313.00 0.00
1216 262.00 262.00 262.00 0.00
1226 326.00 326.00 326.00 0.00
1236 337.00 337.00 337.00 0.00
1246 309.00 309.00 309.00 0.00
1256 319.00 319.00 319.00 0.00
1266 325.00 325.00 325.00 0.00
1276 314.00 314.00 314.00 0.00
1286 323.00 323.00 323.00 0.00
1296 352.00 352.00 352.00 0.00
1306 335.00 335.00 335.00 0.00
1316 345.00 345.00 345.00 0.00
1326 317.00 317.00 317.00 0.00
1336 309.00 309.00 309.00 0.00
1346 311.00 311.00 311.00 0.00
1356 315.00 315.00 315.00 0.00
1366 328.00 328.00 328.00 0.00
1376 324.00 324.00 324.00 0.00
1386 294.00 294.00 294.00 0.00
1396 344.00 344.00 344.00 0.00
1406 357.00 357.00 357.00 0.00
1416 315.00 315.00 315.00 0.00
1426 319.00 319.00 319.00 0.00
1436 335.00 335.00 335.00 0.00
1446 330.00 330.00 330.00 0.00
1456 335.00 335.00 335.00 0.00
1466 355.00 355.00 355.00 0.00
