# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 4.97 4.97 4.97 0.00
26 5.00 5.00 5.00 0.00
36 4.20 4.20 4.20 0.00
46 5.64 5.64 5.64 0.00
56 18.50 18.50 18.50 0.00
66 21.80 21.80 21.80 0.00
76 24.20 24.20 24.20 0.00
86 26.90 26.90 26.90 0.00
96 30.40 30.40 30.40 0.00
106 33.00 33.00 33.00 0.00
116 35.80 35.80 35.80 0.00
126 39.90 39.90 39.90 0.00
136 43.30 43.30 43.30 0.00
146 48.50 48.50 48.50 0.00
156 51.00 51.00 51.00 0.00
166 55.80 55.80 55.80 0.00
176 56.40 56.40 56.40 0.00
186 60.20 60.20 60.20 0.00
196 65.30 65.30 65.30 0.00
206 77.70 77.70 77.70 0.00
216 82.30 82.30 82.30 0.00
226 78.40 78.40 78.40 0.00
236 89.60 89.60 89.60 0.00
246 91.10 91.10 91.10 0.00
256 88.30 88.30 88.30 0.00
266 96.00 96.00 96.00 0.00
276 102.00 102.00 102.00 0.00
286 105.00 105.00 105.00 0.00
296 109.00 109.00 109.00 0.00
306 112.00 112.00 112.00 0.00
316 64.40 64.40 64.40 0.00
326 111.00 111.00 111.00 0.00
336 125.00 125.00 125.00 0.00
346 127.00 127.00 127.00 0.00
356 128.00 128.00 128.00 0.00
366 129.00 129.00 129.00 0.00
376 140.00 140.00 140.00 0.00
386 141.00 141.00 141.00 0.00
396 126.00 126.00 126.00 0.00
406 141.00 141.00 141.00 0.00
416 150.00 150.00 150.00 0.00
426 143.00 143.00 143.00 0.00
436 146.00 146.00 146.00 0.00
446 162.00 162.00 162.00 0.00
456 169.00 169.00 169.00 0.00
466 173.00 173.00 173.00 0.00
476 175.00 175.00 175.00 0.00
486 177.00 177.00 177.00 0.00
496 160.00 160.00 160.00 0.00
506 171.00 171.00 171.00 0.00
516 159.00 159.00 159.00 0.00
526 189.00 189.00 189.00 0.00
536 177.00 177.00 177.00 0.00
546 195.00 195.00 195.00 0.00
556 185.00 185.00 185.00 0.00
566 166.00 166.00 166.00 0.00
576 204.00 204.00 204.00 0.00
586 208.00 208.00 208.00 0.00
596 202.00 202.00 202.00 0.00
606 208.00 208.00 208.00 0.00
616 191.00 191.00 191.00 0.00
626 212.00 212.00 212.00 0.00
636 227.00 227.00 227.00 0.00
646 232.00 232.00 232.00 0.00
656 233.00 233.00 233.00 0.00
666 233.00 233.00 233.00 0.00
676 239.00 239.00 239.00 0.00
686 246.00 246.00 246.00 0.00
696 248.00 248.00 248.00 0.00
706 249.00 249.00 249.00 0.00
716 253.00 253.00 253.00 0.00
726 257.00 257.00 257.00 0.00
736 259.00 259.00 259.00 0.00
746 265.00 265.00 265.00 0.00
756 249.00 249.00 249.00 0.00
766 274.00 274.00 274.00 0.00
776 252.00 252.00 252.00 0.00
786 276.00 276.00 276.00 0.00
796 275.00 275.00 275.00 0.00
806 283.00 283.00 283.00 0.00
816 201.00 201.00 201.00 0.00
826 257.00 257.00 257.00 0.00
836 284.00 284.00 284.00 0.00
846 296.00 296.00 296.00 0.00
856 302.00 302.00 302.00 0.00
866 290.00 290.00 290.00 0.00
876 306.00 306.00 306.00 0.00
886 284.00 284.00 284.00 0.00
896 317.00 317.00 317.00 0.00
906 260.00 260.00 260.00 0.00
916 294.00 294.00 294.00 0.00
926 321.00 321.00 321.00 0.00
936 316.00 316.00 316.00 0.00
946 314.00 314.00 314.00 0.00
956 328.00 328.00 328.00 0.00
966 306.00 306.00 306.00 0.00
976 328.00 328.00 328.00 0.00
986 332.00 332.00 332.00 0.00
996 345.00 345.00 345.00 0.00
1006 315.00 315.00 315.00 0.00
1016 342.00 342.00 342.00 0.00
1026 302.00 302.00 302.00 0.00
1036 336.00 336.00 336.00 0.00
1046 359.00 359.00 359.00 0.00
1056 356.00 356.00 356.00 0.00
1066 366.00 366.00 366.00 0.00
1076 346.00 346.00 346.00 0.00
1086 367.00 367.00 367.00 0.00
1096 372.00 372.00 372.00 0.00
1106 365.00 365.00 365.00 0.00
1116 382.00 382.00 382.00 0.00
1126 365.00 365.00 365.00 0.00
1136 336.00 336.00 336.00 0.00
1146 396.00 396.00 396.00 0.00
1156 387.00 387.00 387.00 0.00
1166 391.00 391.00 391.00 0.00
1176 390.00 390.00 390.00 0.00
1186 398.00 398.00 398.00 0.00
1196 332.00 332.00 332.00 0.00
1206 380.00 380.00 380.00 0.00
1216 411.00 411.00 411.00 0.00
1226 408.00 408.00 408.00 0.00
1236 417.00 417.00 417.00 0.00
1246 402.00 402.00 402.00 0.00
1256 427.00 427.00 427.00 0.00
1266 415.00 415.00 415.00 0.00
1276 422.00 422.00 422.00 0.00
1286 374.00 374.00 374.00 0.00
1296 311.00 311.00 311.00 0.00
1306 434.00 434.00 434.00 0.00
1316 398.00 398.00 398.00 0.00
1326 407.00 407.00 407.00 0.00
1336 433.00 433.00 433.00 0.00
1346 335.00 335.00 335.00 0.00
1356 446.00 446.00 446.00 0.00
1366 396.00 396.00 396.00 0.00
1376 442.00 442.00 442.00 0.00
1386 451.00 451.00 451.00 0.00
1396 436.00 436.00 436.00 0.00
1406 445.00 445.00 445.00 0.00
1416 469.00 469.00 469.00 0.00
1426 465.00 465.00 465.00 0.00
1436 432.00 432.00 432.00 0.00
1446 466.00 466.00 466.00 0.00
1456 471.00 471.00 471.00 0.00
1466 435.00 435.00 435.00 0.00
