# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
66 7.87 2.69 12.00 3.20
116 15.82 4.28 20.90 5.91
166 21.36 11.60 30.00 7.61
216 28.20 13.10 39.50 10.89
266 37.02 14.70 47.70 12.67
316 42.36 14.70 58.00 16.39
366 45.38 11.10 65.60 19.94
416 59.12 40.40 75.20 15.62
466 59.64 25.60 84.60 24.59
516 67.76 21.10 90.70 24.22
566 79.70 48.20 101.00 18.79
616 72.54 12.90 110.00 38.39
666 96.50 75.40 118.00 17.53
716 90.62 43.30 131.00 34.08
766 94.50 30.30 138.00 42.17
816 96.92 46.30 137.00 38.99
866 118.46 57.30 150.00 34.50
916 116.32 67.50 163.00 38.19
966 117.72 67.80 172.00 46.19
1016 141.20 107.00 173.00 28.15
1066 137.16 46.10 186.00 58.87
1116 139.58 28.90 191.00 58.74
1166 140.20 66.00 201.00 46.72
1216 137.56 49.80 202.00 56.17
1266 165.78 99.90 204.00 37.83
1316 156.84 55.30 220.00 67.42
1366 165.60 116.00 213.00 39.85
1416 132.02 51.60 217.00 66.05
1466 157.78 42.70 224.00 73.59
