# MTU(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
500 94.08 94.00 94.10 0.04
700 94.05 94.00 94.10 0.05
900 94.08 94.00 94.10 0.04
1100 94.03 94.00 94.10 0.05
