# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 15.20 15.20 15.20 0.00
66 49.90 49.90 49.90 0.00
116 63.70 63.70 63.70 0.00
166 71.50 71.50 71.50 0.00
216 76.60 76.60 76.60 0.00
266 80.10 80.10 80.10 0.00
316 82.70 82.70 82.70 0.00
366 84.70 84.70 84.70 0.00
416 86.30 86.30 86.30 0.00
466 87.50 87.50 87.50 0.00
516 88.60 88.60 88.60 0.00
566 89.50 89.50 89.50 0.00
616 90.30 90.30 90.30 0.00
666 91.00 91.00 91.00 0.00
716 91.60 91.60 91.60 0.00
766 92.10 92.10 92.10 0.00
816 92.50 92.50 92.50 0.00
866 92.90 92.90 92.90 0.00
916 93.30 93.30 93.30 0.00
966 93.60 93.60 93.60 0.00
1016 93.90 93.90 93.90 0.00
1066 94.20 94.20 94.20 0.00
1116 94.40 94.40 94.40 0.00
1166 94.60 94.60 94.60 0.00
1216 94.80 94.80 94.80 0.00
1266 95.00 95.00 95.00 0.00
1316 95.20 95.20 95.20 0.00
1366 95.40 95.40 95.40 0.00
1416 95.50 95.50 95.50 0.00
1466 95.70 95.70 95.70 0.00
