# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 1.38 1.38 1.38 0.00
46 8.25 8.25 8.25 0.00
56 9.89 9.89 9.89 0.00
66 11.80 11.80 11.80 0.00
76 13.70 13.70 13.70 0.00
86 15.30 15.30 15.30 0.00
96 16.90 16.90 16.90 0.00
106 19.40 19.40 19.40 0.00
116 10.70 10.70 10.70 0.00
126 2.46 2.46 2.46 0.00
136 2.08 2.08 2.08 0.00
146 26.30 26.30 26.30 0.00
156 28.40 28.40 28.40 0.00
166 30.10 30.10 30.10 0.00
176 32.00 32.00 32.00 0.00
186 31.60 31.60 31.60 0.00
196 34.40 34.40 34.40 0.00
206 37.60 37.60 37.60 0.00
216 20.40 20.40 20.40 0.00
226 5.13 5.13 5.13 0.00
236 33.10 33.10 33.10 0.00
246 44.00 44.00 44.00 0.00
256 39.10 39.10 39.10 0.00
266 48.00 48.00 48.00 0.00
276 50.00 50.00 50.00 0.00
286 49.10 49.10 49.10 0.00
296 54.60 54.60 54.60 0.00
306 55.80 55.80 55.80 0.00
316 40.00 40.00 40.00 0.00
326 3.56 3.56 3.56 0.00
336 19.00 19.00 19.00 0.00
346 62.50 62.50 62.50 0.00
356 64.70 64.70 64.70 0.00
366 60.90 60.90 60.90 0.00
376 65.60 65.60 65.60 0.00
386 70.80 70.80 70.80 0.00
396 66.20 66.20 66.20 0.00
406 67.80 67.80 67.80 0.00
416 74.20 74.20 74.20 0.00
426 6.20 6.20 6.20 0.00
436 38.50 38.50 38.50 0.00
446 31.60 31.60 31.60 0.00
456 83.60 83.60 83.60 0.00
466 79.40 79.40 79.40 0.00
476 85.60 85.60 85.60 0.00
486 89.30 89.30 89.30 0.00
496 87.40 87.40 87.40 0.00
506 91.30 91.30 91.30 0.00
516 94.80 94.80 94.80 0.00
526 36.80 36.80 36.80 0.00
536 11.10 11.10 11.10 0.00
546 97.30 97.30 97.30 0.00
556 99.00 99.00 99.00 0.00
566 99.80 99.80 99.80 0.00
576 101.00 101.00 101.00 0.00
586 94.20 94.20 94.20 0.00
596 108.00 108.00 108.00 0.00
606 108.00 108.00 108.00 0.00
616 79.10 79.10 79.10 0.00
626 7.69 7.69 7.69 0.00
636 39.50 39.50 39.50 0.00
646 115.00 115.00 115.00 0.00
656 113.00 113.00 113.00 0.00
666 110.00 110.00 110.00 0.00
676 118.00 118.00 118.00 0.00
686 125.00 125.00 125.00 0.00
696 121.00 121.00 121.00 0.00
706 128.00 128.00 128.00 0.00
716 123.00 123.00 123.00 0.00
726 9.38 9.38 9.38 0.00
736 6.09 6.09 6.09 0.00
746 49.40 49.40 49.40 0.00
756 123.00 123.00 123.00 0.00
766 134.00 134.00 134.00 0.00
776 141.00 141.00 141.00 0.00
786 138.00 138.00 138.00 0.00
796 145.00 145.00 145.00 0.00
806 143.00 143.00 143.00 0.00
816 75.10 75.10 75.10 0.00
826 11.80 11.80 11.80 0.00
836 19.60 19.60 19.60 0.00
846 145.00 145.00 145.00 0.00
856 146.00 146.00 146.00 0.00
866 151.00 151.00 151.00 0.00
876 145.00 145.00 145.00 0.00
886 146.00 146.00 146.00 0.00
896 154.00 154.00 154.00 0.00
906 139.00 139.00 139.00 0.00
916 86.40 86.40 86.40 0.00
926 25.20 25.20 25.20 0.00
936 21.80 21.80 21.80 0.00
946 142.00 142.00 142.00 0.00
956 140.00 140.00 140.00 0.00
966 163.00 163.00 163.00 0.00
976 162.00 162.00 162.00 0.00
986 164.00 164.00 164.00 0.00
996 166.00 166.00 166.00 0.00
1006 116.00 116.00 116.00 0.00
1016 29.00 29.00 29.00 0.00
1026 38.80 38.80 38.80 0.00
1036 153.00 153.00 153.00 0.00
1046 176.00 176.00 176.00 0.00
1056 140.00 140.00 140.00 0.00
1066 163.00 163.00 163.00 0.00
1076 170.00 170.00 170.00 0.00
1086 171.00 171.00 171.00 0.00
1096 168.00 168.00 168.00 0.00
1106 188.00 188.00 188.00 0.00
1116 45.10 45.10 45.10 0.00
1126 25.20 25.20 25.20 0.00
1136 82.50 82.50 82.50 0.00
1146 131.00 131.00 131.00 0.00
1156 167.00 167.00 167.00 0.00
1166 171.00 171.00 171.00 0.00
1176 191.00 191.00 191.00 0.00
1186 197.00 197.00 197.00 0.00
1196 194.00 194.00 194.00 0.00
1206 194.00 194.00 194.00 0.00
1216 172.00 172.00 172.00 0.00
1226 98.10 98.10 98.10 0.00
1236 53.00 53.00 53.00 0.00
1246 53.10 53.10 53.10 0.00
1256 176.00 176.00 176.00 0.00
1266 192.00 192.00 192.00 0.00
1276 194.00 194.00 194.00 0.00
1286 207.00 207.00 207.00 0.00
1296 182.00 182.00 182.00 0.00
1306 200.00 200.00 200.00 0.00
1316 215.00 215.00 215.00 0.00
1326 97.70 97.70 97.70 0.00
1336 58.30 58.30 58.30 0.00
1346 18.90 18.90 18.90 0.00
1356 201.00 201.00 201.00 0.00
1366 196.00 196.00 196.00 0.00
1376 175.00 175.00 175.00 0.00
1386 188.00 188.00 188.00 0.00
1396 207.00 207.00 207.00 0.00
1406 206.00 206.00 206.00 0.00
1426 200.00 200.00 200.00 0.00
1436 197.00 197.00 197.00 0.00
1446 39.10 39.10 39.10 0.00
1456 14.10 14.10 14.10 0.00
1466 83.50 83.50 83.50 0.00
