# MTU(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
500 83.20 83.20 83.20 nan
700 87.79 87.70 87.80 0.03
900 90.35 90.30 90.40 0.05
1100 92.00 92.00 92.00 0.00
1300 93.20 93.20 93.20 nan
1500 94.06 94.00 94.10 0.05
