# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 2.83 2.83 2.83 0.00
26 4.60 4.60 4.60 0.00
36 3.16 3.16 3.16 0.00
46 388.00 388.00 388.00 0.00
56 9.94 9.94 9.94 0.00
66 11.70 11.70 11.70 0.00
76 12.40 12.40 12.40 0.00
86 14.80 14.80 14.80 0.00
96 1.76 1.76 1.76 0.00
106 14.50 14.50 14.50 0.00
116 19.40 19.40 19.40 0.00
126 22.40 22.40 22.40 0.00
136 24.40 24.40 24.40 0.00
146 25.70 25.70 25.70 0.00
156 2.36 2.36 2.36 0.00
166 29.80 29.80 29.80 0.00
176 31.40 31.40 31.40 0.00
186 33.00 33.00 33.00 0.00
196 32.90 32.90 32.90 0.00
206 23.00 23.00 23.00 0.00
216 4.18 4.18 4.18 0.00
226 40.40 40.40 40.40 0.00
236 41.20 41.20 41.20 0.00
246 41.70 41.70 41.70 0.00
256 47.00 47.00 47.00 0.00
266 8.88 8.88 8.88 0.00
276 22.60 22.60 22.60 0.00
286 50.10 50.10 50.10 0.00
296 53.60 53.60 53.60 0.00
306 51.50 51.50 51.50 0.00
316 56.50 56.50 56.50 0.00
326 2.19 2.19 2.19 0.00
336 60.10 60.10 60.10 0.00
346 62.30 62.30 62.30 0.00
356 64.50 64.50 64.50 0.00
366 66.00 66.00 66.00 0.00
376 13.50 13.50 13.50 0.00
386 10.10 10.10 10.10 0.00
396 70.60 70.60 70.60 0.00
406 72.20 72.20 72.20 0.00
416 71.10 71.10 71.10 0.00
426 58.90 58.90 58.90 0.00
436 2.24 2.24 2.24 0.00
446 79.40 79.40 79.40 0.00
456 78.10 78.10 78.10 0.00
466 82.20 82.20 82.20 0.00
476 80.10 80.10 80.10 0.00
486 18.90 18.90 18.90 0.00
496 4.48 4.48 4.48 0.00
506 87.50 87.50 87.50 0.00
516 89.90 89.90 89.90 0.00
526 92.50 92.50 92.50 0.00
536 91.60 91.60 91.60 0.00
546 13.40 13.40 13.40 0.00
556 99.30 99.30 99.30 0.00
566 98.70 98.70 98.70 0.00
576 86.80 86.80 86.80 0.00
586 103.00 103.00 103.00 0.00
596 101.00 101.00 101.00 0.00
606 11.90 11.90 11.90 0.00
616 95.50 95.50 95.50 0.00
626 110.00 110.00 110.00 0.00
636 113.00 113.00 113.00 0.00
646 106.00 106.00 106.00 0.00
656 114.00 114.00 114.00 0.00
666 36.80 36.80 36.80 0.00
676 121.00 121.00 121.00 0.00
686 121.00 121.00 121.00 0.00
696 114.00 114.00 114.00 0.00
706 122.00 122.00 122.00 0.00
716 94.20 94.20 94.20 0.00
726 8.23 8.23 8.23 0.00
736 119.00 119.00 119.00 0.00
746 129.00 129.00 129.00 0.00
756 135.00 135.00 135.00 0.00
766 134.00 134.00 134.00 0.00
776 47.50 47.50 47.50 0.00
786 99.80 99.80 99.80 0.00
796 137.00 137.00 137.00 0.00
806 138.00 138.00 138.00 0.00
816 130.00 130.00 130.00 0.00
826 136.00 136.00 136.00 0.00
836 32.30 32.30 32.30 0.00
846 116.00 116.00 116.00 0.00
856 146.00 146.00 146.00 0.00
866 152.00 152.00 152.00 0.00
876 154.00 154.00 154.00 0.00
886 154.00 154.00 154.00 0.00
896 20.60 20.60 20.60 0.00
906 38.20 38.20 38.20 0.00
916 154.00 154.00 154.00 0.00
926 164.00 164.00 164.00 0.00
936 153.00 153.00 153.00 0.00
946 165.00 165.00 165.00 0.00
956 29.30 29.30 29.30 0.00
966 26.80 26.80 26.80 0.00
976 149.00 149.00 149.00 0.00
986 157.00 157.00 157.00 0.00
996 172.00 172.00 172.00 0.00
1006 169.00 169.00 169.00 0.00
1016 17.20 17.20 17.20 0.00
1026 164.00 164.00 164.00 0.00
1036 174.00 174.00 174.00 0.00
1046 182.00 182.00 182.00 0.00
1056 177.00 177.00 177.00 0.00
1066 167.00 167.00 167.00 0.00
1076 147.00 147.00 147.00 0.00
1086 10.90 10.90 10.90 0.00
1096 180.00 180.00 180.00 0.00
1106 178.00 178.00 178.00 0.00
1116 167.00 167.00 167.00 0.00
1126 176.00 176.00 176.00 0.00
1136 7.34 7.34 7.34 0.00
1146 187.00 187.00 187.00 0.00
1156 199.00 199.00 199.00 0.00
1166 191.00 191.00 191.00 0.00
1176 178.00 178.00 178.00 0.00
1186 59.40 59.40 59.40 0.00
1196 45.00 45.00 45.00 0.00
1206 192.00 192.00 192.00 0.00
1216 195.00 195.00 195.00 0.00
1226 198.00 198.00 198.00 0.00
1236 194.00 194.00 194.00 0.00
1246 38.00 38.00 38.00 0.00
1256 63.90 63.90 63.90 0.00
1266 189.00 189.00 189.00 0.00
1276 207.00 207.00 207.00 0.00
1286 204.00 204.00 204.00 0.00
1296 212.00 212.00 212.00 0.00
1306 85.00 85.00 85.00 0.00
1316 40.00 40.00 40.00 0.00
1326 203.00 203.00 203.00 0.00
1336 170.00 170.00 170.00 0.00
1346 167.00 167.00 167.00 0.00
1356 183.00 183.00 183.00 0.00
1366 27.90 27.90 27.90 0.00
1376 15.00 15.00 15.00 0.00
1386 188.00 188.00 188.00 0.00
1396 194.00 194.00 194.00 0.00
1406 187.00 187.00 187.00 0.00
1416 106.00 106.00 106.00 0.00
1426 21.00 21.00 21.00 0.00
1436 192.00 192.00 192.00 0.00
1446 210.00 210.00 210.00 0.00
1456 221.00 221.00 221.00 0.00
1466 225.00 225.00 225.00 0.00
