# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 14.60 14.60 14.60 0.00
26 24.20 24.20 24.20 0.00
36 32.70 32.70 32.70 0.00
46 40.40 40.40 40.40 0.00
56 45.30 45.30 45.30 0.00
66 49.40 49.40 49.40 0.00
76 53.10 53.10 53.10 0.00
86 56.10 56.10 56.10 0.00
96 59.00 59.00 59.00 0.00
106 61.00 61.00 61.00 0.00
116 63.10 63.10 63.10 0.00
126 65.20 65.20 65.20 0.00
136 67.00 67.00 67.00 0.00
146 68.50 68.50 68.50 0.00
156 70.00 70.00 70.00 0.00
166 71.30 71.30 71.30 0.00
176 72.30 72.30 72.30 0.00
186 73.70 73.70 73.70 0.00
196 74.50 74.50 74.50 0.00
206 75.70 75.70 75.70 0.00
216 76.50 76.50 76.50 0.00
226 77.10 77.10 77.10 0.00
236 77.90 77.90 77.90 0.00
246 78.80 78.80 78.80 0.00
256 79.30 79.30 79.30 0.00
266 79.80 79.80 79.80 0.00
276 80.60 80.60 80.60 0.00
286 81.20 81.20 81.20 0.00
296 81.70 81.70 81.70 0.00
306 82.20 82.20 82.20 0.00
316 82.60 82.60 82.60 0.00
326 83.00 83.00 83.00 0.00
336 83.40 83.40 83.40 0.00
346 83.90 83.90 83.90 0.00
356 84.30 84.30 84.30 0.00
366 84.70 84.70 84.70 0.00
376 85.00 85.00 85.00 0.00
386 85.30 85.30 85.30 0.00
396 85.70 85.70 85.70 0.00
406 86.00 86.00 86.00 0.00
416 86.30 86.30 86.30 0.00
426 86.50 86.50 86.50 0.00
436 86.80 86.80 86.80 0.00
446 87.10 87.10 87.10 0.00
456 87.30 87.30 87.30 0.00
466 87.50 87.50 87.50 0.00
476 87.80 87.80 87.80 0.00
486 88.00 88.00 88.00 0.00
496 88.20 88.20 88.20 0.00
506 88.40 88.40 88.40 0.00
516 88.60 88.60 88.60 0.00
526 88.80 88.80 88.80 0.00
536 89.00 89.00 89.00 0.00
546 89.20 89.20 89.20 0.00
556 89.30 89.30 89.30 0.00
566 89.50 89.50 89.50 0.00
576 89.70 89.70 89.70 0.00
586 89.80 89.80 89.80 0.00
596 90.00 90.00 90.00 0.00
606 90.10 90.10 90.10 0.00
616 90.30 90.30 90.30 0.00
626 90.40 90.40 90.40 0.00
636 90.60 90.60 90.60 0.00
646 90.70 90.70 90.70 0.00
656 90.80 90.80 90.80 0.00
666 90.90 90.90 90.90 0.00
676 91.00 91.00 91.00 0.00
686 91.20 91.20 91.20 0.00
696 91.30 91.30 91.30 0.00
706 91.40 91.40 91.40 0.00
716 91.50 91.50 91.50 0.00
726 91.60 91.60 91.60 0.00
736 91.70 91.70 91.70 0.00
746 91.80 91.80 91.80 0.00
756 91.90 91.90 91.90 0.00
766 91.90 91.90 91.90 0.00
776 92.10 92.10 92.10 0.00
786 92.20 92.20 92.20 0.00
796 92.30 92.30 92.30 0.00
806 92.40 92.40 92.40 0.00
816 92.50 92.50 92.50 0.00
826 92.50 92.50 92.50 0.00
836 92.60 92.60 92.60 0.00
846 92.70 92.70 92.70 0.00
856 92.80 92.80 92.80 0.00
866 92.80 92.80 92.80 0.00
876 92.90 92.90 92.90 0.00
886 93.00 93.00 93.00 0.00
896 93.10 93.10 93.10 0.00
906 93.10 93.10 93.10 0.00
916 93.20 93.20 93.20 0.00
926 93.30 93.30 93.30 0.00
936 93.40 93.40 93.40 0.00
946 93.40 93.40 93.40 0.00
956 93.50 93.50 93.50 0.00
966 93.50 93.50 93.50 0.00
976 93.60 93.60 93.60 0.00
986 93.70 93.70 93.70 0.00
996 93.70 93.70 93.70 0.00
1006 93.80 93.80 93.80 0.00
1016 93.80 93.80 93.80 0.00
1026 93.90 93.90 93.90 0.00
1036 93.90 93.90 93.90 0.00
1046 94.00 94.00 94.00 0.00
1056 94.10 94.10 94.10 0.00
1066 94.10 94.10 94.10 0.00
1076 94.20 94.20 94.20 0.00
1086 94.20 94.20 94.20 0.00
1096 94.30 94.30 94.30 0.00
1106 94.30 94.30 94.30 0.00
1116 94.30 94.30 94.30 0.00
1126 94.30 94.30 94.30 0.00
1136 94.40 94.40 94.40 0.00
1146 94.50 94.50 94.50 0.00
1156 94.50 94.50 94.50 0.00
1166 94.60 94.60 94.60 0.00
1176 94.60 94.60 94.60 0.00
1186 94.70 94.70 94.70 0.00
1196 94.70 94.70 94.70 0.00
1206 94.70 94.70 94.70 0.00
1216 94.80 94.80 94.80 0.00
1226 94.80 94.80 94.80 0.00
1236 94.90 94.90 94.90 0.00
1246 94.90 94.90 94.90 0.00
1256 90.40 90.40 90.40 0.00
1266 95.00 95.00 95.00 0.00
1276 95.00 95.00 95.00 0.00
1286 95.10 95.10 95.10 0.00
1296 95.00 95.00 95.00 0.00
1306 95.10 95.10 95.10 0.00
1316 95.20 95.20 95.20 0.00
1326 95.20 95.20 95.20 0.00
1336 95.20 95.20 95.20 0.00
1346 95.30 95.30 95.30 0.00
1356 95.30 95.30 95.30 0.00
1366 95.30 95.30 95.30 0.00
1376 95.40 95.40 95.40 0.00
1386 95.40 95.40 95.40 0.00
1396 95.40 95.40 95.40 0.00
1406 95.40 95.40 95.40 0.00
1416 95.50 95.50 95.50 0.00
1426 95.50 95.50 95.50 0.00
1436 95.60 95.60 95.60 0.00
1446 95.60 95.60 95.60 0.00
1456 95.60 95.60 95.60 0.00
1466 95.60 95.60 95.60 0.00
