# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
66 10.60 10.60 10.60 0.00
116 15.90 15.90 15.90 0.00
166 29.50 29.50 29.50 0.00
216 36.40 36.40 36.40 0.00
266 44.90 44.90 44.90 0.00
316 10.20 10.20 10.20 0.00
366 43.00 43.00 43.00 0.00
416 71.90 71.90 71.90 0.00
466 84.30 84.30 84.30 0.00
516 86.90 86.90 86.90 0.00
566 101.00 101.00 101.00 0.00
616 87.80 87.80 87.80 0.00
666 28.00 28.00 28.00 0.00
716 116.00 116.00 116.00 0.00
766 134.00 134.00 134.00 0.00
816 140.00 140.00 140.00 0.00
866 141.00 141.00 141.00 0.00
916 146.00 146.00 146.00 0.00
966 41.30 41.30 41.30 0.00
1016 33.80 33.80 33.80 0.00
1066 153.00 153.00 153.00 0.00
1116 163.00 163.00 163.00 0.00
1166 161.00 161.00 161.00 0.00
1216 148.00 148.00 148.00 0.00
1266 143.00 143.00 143.00 0.00
1316 39.10 39.10 39.10 0.00
1366 110.00 110.00 110.00 0.00
1416 179.00 179.00 179.00 0.00
1466 183.00 183.00 183.00 0.00
