# MTU(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 94.02 93.90 94.10 0.09
116 41.26 41.10 41.30 0.08
216 64.48 64.30 64.50 0.06
316 74.39 74.30 74.50 0.05
416 79.99 79.90 80.00 0.03
516 83.63 83.50 83.70 0.09
616 86.07 86.00 86.20 0.09
716 87.91 87.90 88.00 0.03
816 89.33 89.30 89.40 0.05
916 90.43 90.40 90.50 0.05
1016 91.35 91.30 91.40 0.05
1116 92.13 92.10 92.20 0.05
1216 92.70 92.60 92.80 0.08
1316 93.19 93.00 93.30 0.10
1416 93.71 93.70 93.80 0.03
