# 
# Header Description:
# 
# Version: v2.0.0.1 Platform: 8.1.0 Manufacturer: asus Model: ASUS_X00HD
# 
# Raw,ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
# 
# Fix,Provider,Latitude,Longitude,Altitude,Speed,Accuracy,(UTC)TimeInMs
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
Fix,gps,44.651897,7.663899,362.421265,0.000000,9.648001,1774428079000
Fix,gps,44.651897,7.663901,362.492798,0.000000,9.648001,1774428080000
Fix,gps,44.651896,7.663901,362.315735,0.000000,9.648001,1774428081000
Fix,gps,44.651895,7.663901,362.608765,0.000000,9.648001,1774428082000
Fix,gps,44.651894,7.663903,362.591858,0.000000,9.648001,1774428083000
Fix,gps,44.651893,7.663903,362.560181,0.000000,9.648001,1774428084000
Fix,gps,44.651893,7.663903,362.501953,0.000000,9.648001,1774428085000
Fix,gps,44.651893,7.663903,362.498047,0.000000,9.648001,1774428086000
Fix,gps,44.651893,7.663904,362.496399,0.000000,9.648001,1774428087000
Fix,gps,44.651893,7.663904,362.527405,0.000000,9.648001,1774428088000
Fix,gps,44.651892,7.663903,362.358643,0.000000,9.648001,1774428089000
Fix,gps,44.651892,7.663903,362.286682,0.000000,9.648001,1774428090000
Fix,gps,44.651891,7.663903,362.327759,0.000000,9.648001,1774428091000
Fix,gps,44.651891,7.663903,362.313965,0.000000,9.648001,1774428092000
Fix,gps,44.651891,7.663903,362.300171,0.000000,9.648001,1774428093000
Fix,gps,44.651891,7.663903,362.290894,0.000000,9.648001,1774428094000
Fix,gps,44.651891,7.663903,362.283508,0.000000,9.648001,1774428095000
Fix,gps,44.651891,7.663903,362.285156,0.000000,9.648001,1774428096000
Fix,gps,44.651891,7.663903,362.284912,0.000000,9.648001,1774428097000
Fix,gps,44.651891,7.663903,362.281982,0.000000,9.648001,1774428098000
Fix,gps,44.651891,7.663903,362.280151,0.000000,9.648001,1774428099000
Fix,gps,44.651891,7.663903,362.277954,0.000000,9.648001,1774428100000
Fix,gps,44.651891,7.663903,362.275879,0.000000,9.648001,1774428101000
Fix,gps,44.651891,7.663903,362.276855,0.000000,9.648001,1774428102000
Fix,gps,44.651891,7.663903,362.277222,0.000000,9.648001,1774428103000
Fix,gps,44.651891,7.663903,362.276123,0.000000,9.648001,1774428104000
Fix,gps,44.651891,7.663903,362.276733,0.000000,9.648001,1774428105000
