utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,32,0.0,16431,321880924602989,235,28.093000411987305,-894.9762307154637,0.14999,16,0.0,0.0,1575420000,,,,0,9.181673206758449,1,6.0,28.093000411987305,0.0,0.0,0.0,66.7128,C,,0,3500723.132629357,16106101.158801973,21142158.23288004,-2534.3130614389843,-646.8368303593948,906.4152419467862,-12720.005782170729,0.006546100888954243,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,17,0.0,16431,321880921023859,487,21.899999618530273,-1775.749937761701,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,1,6.0,21.899999618530273,0.0,0.0,0.0,66.7128,C,,0,1791845.0214994703,-15583680.662707547,21776563.91736914,2544.6740049464975,848.8453854881216,431.2071319213125,-27222.341710675915,-0.0018908376296167262,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,11,0.0,22569,321880923141595,1837,12.63700008392334,-950.1686433399184,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,6,6.0,12.63700008392334,0.0,0.0,-48.16375761722526,66.7128,C,,0,13440000.251371838,18125256.615215655,19159895.64814007,209.86767735018617,1917.1859680098073,-1958.1331961731128,1326204.421402079,0.040430152555927634,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,10,0.0,6185,321880910888181,1797,14.199999809265137,-819.3818833626484,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,6,6.0,14.199999809265137,0.0,0.0,-48.16375761722526,66.7128,C,,0,8533097.10929509,26156275.37978236,10922204.787523892,216.08853905407273,1087.3703401049993,-2771.6638112275373,-233495.23650380128,-0.000767168152378872,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,9,0.0,22569,321880916535483,487,16.299999237060547,-1667.215458313625,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,6,6.0,16.299999237060547,0.0,0.0,-48.16375761722526,66.7128,C,,0,24274205.728497326,16066439.173579492,5307254.466426012,-437.40778718583834,-316.46994717474195,2962.205319057775,-64296.6201948778,0.0016834127236506902,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,28,0.0,16431,321866929102313,797,15.14900016784668,-1285.4774169921875,0.14999,16,0.0,0.0,1561098000,,,,0,0.0,5,6.0,15.14900016784668,0.0,0.0,-5.259978711899172,66.7128,I,,0,19271833.21813725,-170288.89725301415,20185274.597754832,1485.4029855505657,1767.950316891726,-1402.7386694830222,148740.20029673763,0.0013915495947003365,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,19,0.0,22569,321880908150972,797,15.75100040435791,-747.8977585503957,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,6,6.0,15.75100040435791,0.0,0.0,-48.16375761722526,66.7128,C,,0,-13904539.077140842,11077897.688410126,23680457.297448687,-2131.724035178095,-1043.3240313307192,-763.1787380797392,842899.1858572945,0.009176237974315882,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,27,0.0,16431,321866922718841,797,15.118000030517578,-1695.745849609375,0.14999,16,0.0,0.0,1561098000,,,,0,0.0,5,6.0,15.118000030517578,0.0,0.0,-5.259978711899172,66.7128,I,,0,8963789.361406751,-14010140.418021949,22383161.299247373,1732.4374439138571,1891.5259968755709,490.3173622570909,182476.04401622727,0.0014134815719444305,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,6,0.0,32995,73462919496975,797,0.0,-418.28452736017044,0.14999,16,0.0,0.0,1599750000,,,,0,0.0,3,6.0,15.0,0.0,0.0,136.9227581253116,66.7128,C,,0,-11014902.514169663,9964771.184052797,20742193.983932577,-2836.140500138683,158.61938908650473,-1584.7796597633749,7326.578619310632,0.0,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773854662999,145182000000,18,81.13360908781979,-1457889735817999872,0.0,81.13360908781979,-4086.8370231786243,0.0,0,8,0.0,16431,321880925030418,797,13.5,-584.3699407913272,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,1,6.0,13.5,0.0,0.0,0.0,66.7128,C,,0,26082184.693787716,6272324.743036345,-50896.46388943706,-53.1131419062266,292.3414655185639,-3104.166166549574,142798.4033579215,-0.0008173106471076608,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
