# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 13.43 13.10 13.60 0.16
116 62.89 62.50 63.70 0.40
216 76.13 74.50 76.60 0.74
316 82.61 81.80 82.70 0.27
416 86.06 85.60 86.30 0.24
516 88.56 88.30 88.60 0.09
616 90.24 90.00 90.30 0.12
716 91.50 91.50 91.50 0.00
816 92.50 92.50 92.50 0.00
916 93.28 93.20 93.30 0.04
1016 93.90 93.90 93.90 0.00
1116 94.40 94.40 94.40 0.00
1216 94.80 94.80 94.80 0.00
1316 95.20 95.20 95.20 0.00
1416 95.50 95.50 95.50 0.00
